title,file,object_id,journal,volume,pagees,abstract,author,publisher,date
"Prehistoric Ring Ditches and Late Iron Age Activity at Pincet Lane, North Kilworth, Leicestershire",2022_96_013-068_Huxley.pdf,3253315,Transactions of the Leicestershire Archaeological and Historical Society,Volume 96,Pages 13:68,"Archaeological investigations by ULAS in 2019, to the east of Pincet Lane, North Kilworth, revealed evidence for a range of activities, notably from the Middle Neolithic, Bronze Age and Iron Age/Early Roman periods. In the Early Bronze Age, a circular palisaded enclosure (c.20m diameter) with a small entrance was constructed. In the centre was a crouched burial with the head orientated south-easterly towards the entrance. Further suspected burials or offerings were also found within the enclosure. Some of these had pots placed into the features, but no bone survived. Later, the entrance was blocked with two posts and the enclosure was redefined with a shallow ditch. A large (c.42m diameter) ring ditch, over 2m in depth, was excavated around the enclosure. The lower part of the ditch had naturally silted, whilst the upper part appears to have been deliberately infilled during the Iron Age period. In the late Iron Age, three roundhouses, and several enclosures, were constructed; some were dug into the top of the outer ring ditch. Evidence indicates one roundhouse was modified during the first century into a ‘C’ shaped enclosure; all of them were used into the Early Roman period. The locations of the Iron Age and Early Roman features suggests that by this point there was no trace of the outer Bronze Age ring ditch in the landscape. In contrast, all the features from this period respect the inner enclosure and the most likely explanation for this is that it was covered by a visible mound. An earthwork may have survived as late as the post-medieval period, as a later trackway may also be respecting this area.","Huxley, Richard|Cooper, Lynden|Cooper, Nicholas|Johnson, William|Richer, Suzie|Santer, Adam|Small, Rachel|Speed, Gavin|Thomas, John",Leicestershire Archaeological and Historical Society,2022
"Late Prehistoric Pit Alignments at Money Hill, Ashby-de-la-Zouch",2022_96_069-078_Simmonds.pdf,3253316,Transactions of the Leicestershire Archaeological and Historical Society,Volume 96,Pages 69:78,"Oxford Archaeology excavated parts of two pit alignments, one of them a double alignment, at Money Hill, Ashby-de-la-Zouch. Pit alignments are notoriously difficult to date and the recovery of small quantities of Iron Age pottery from three of the pits is therefore particularly significant. A localised buried soil layer that contained a small quantity of worked flint of possible Neolithic date was also uncovered.","Simmonds, Andrew|Champness, Carl|Davies, Alex|Druce, Denise|Kennard, Elizabeth",Leicestershire Archaeological and Historical Society,2022
The Discovery of a new Roman Villa and unique mosaic in Rutland,2022_96_079-094_Browning_et_al.pdf,3253317,Transactions of the Leicestershire Archaeological and Historical Society,Volume 96,Pages 79:94,"In August 2020, investigation of a cropmark identified by landowners resulted in the discovery of a spectacular figurative mosaic on land on the eastern side of Rutland. Following the notification of the Leicestershire and Rutland Historic and Natural Environment Team, a programme of investigation was initiated, and University of Leicester Archaeological Services were appointed to record the trench with support from Historic England. A follow-up programme of geophysical survey, trial trenching and test pitting was implemented to establish the extent, nature and date range of the archaeology, and to assess the risk to the remains from the current farming regime – providing information that would ultimately lead to the designation of the site as a Scheduled Monument.The work has established the presence of an elaborate villa complex, encompassing eight buildings and a host of other structures, enclosed by a ditch system. The excavated areas produced evidence broadly dating it to mid-late third to the late fourth century AD, although there are hints of earlier activity. Unusually, the site has apparently survived as a substantially complete complex, encompassing the full range of buildings that would be expected in a Roman villa, in Britain and is therefore of national and regional significance. However, much of the archaeology was at a shallow depth and therefore potentially at risk from continued cultivation. The mosaic was within a probable dining room at the northern end of a large villa building with an apse, from where it would have been viewed. It depicts scenes from the story of the Trojan War cycle and, in particular, the conflict between Achilles and Hector at Troy. The legend is illustrated in three rectangular panels, each portraying a different act from the tragedy. The inspiration for the imagery is likely to have been taken from an illustrated codex, presumably provided by the proprietor of the villa, marking them out as a highly educated individual. The subject matter of the mosaic is unique in Britain and rare in the rest of the Roman Empire, and it has been described as the most important Roman mosaic to have been discovered in the last 100 years.","Browning, Jennifer|Masséglia, Jane|Taylor, Jeremy|Thomas, John",Leicestershire Archaeological and Historical Society,2022
Evidence for Scandinavian Settlement in Leicestershire – How Portable Antiquities Scheme Data Knits it all Together,2022_96_095_120_Scott.pdf,3253318,Transactions of the Leicestershire Archaeological and Historical Society,Volume 96,Pages 95:120,"Leicester is traditionally listed as one of the ‘five Boroughs’, a contentious name for a number of Midland towns thought by some to have acted as a confederation of Scandinavian settlements within the greater ‘Danelaw’. Also, the south-western boundary of the later county at Watling Street formed part of the documented Danelaw border. The city maintained its Roman walls into the medieval period, which made it a well-located and easily defended central settlement for Scandinavian settlers. Evidence for this Scandinavian settlement has been based on two types of data: documentary, which is most fruitful for the city of Leicester and place name evidence, which is most pronounced in the county. Recently a third source – artefactual, mainly obtained from metal detecting complemented by some excavation – has created a fuller picture, and highlights the value of small finds as cultural markers.","Scott, Wendy",Leicestershire Archaeological and Historical Society,2022
A Three-Dimensional Analysis of Leicestershire Early Medieval Place-Names,2022_96_121-136_Aldred.pdf,3253319,Transactions of the Leicestershire Archaeological and Historical Society,Volume 96,Pages 121:136,"The following analysis derives from a larger study of Anglo-Saxon settlements in Mercia centred on place-names containing the term worth (Aldred 2021), part of which incorporated a study of the distribution of early place-name types in Leicestershire. This considered their geographical relationships with each other, with landscape features, resources and their relative elevations above Ordnance Datum (AOD), making the study in three dimensions. I had intended to include dating evidence, making it four-dimensional but, apart from the Domesday Book, there is scant evidence for the precise date of establishment of many of these settlements. The overall objective was to determine whether specific name-types exhibited any particularly characteristic patterning. The resultant analysis exposed some distinct patterns, not just in relation to the primary settlement study of worths but to other name-types, which may provide fuel for further research. For example, is it possible to deduce further meaning in addition to simple translations of the names? Do relative locations tell us anything about the organisation of the post-Roman/early medieval English landscape, its population types and the exploitation of its resources? Whilst habitative names are a matter of human agency, are topographical names purely indicative of specific features or might they also carry more meaning, based on their place in the wider landscape?","Aldred, Graham",Leicestershire Archaeological and Historical Society,2022
"‘Trading Beyond His Capital’: The Business of Bankruptcy and Local Economies in Leicestershire, 1706–1842",2022_96_137-156_Postles.pdf,3253320,Transactions of the Leicestershire Archaeological and Historical Society,Volume 96,Pages 137:156,"Whilst the impact of bankruptcy has been investigated by Hoppit, his examination was confined to the eighteenth century, finishing at 1800. His analysis also represented the macro-level, the whole of England. It is important, however, to consider the effects of bankruptcies on local economies, with their different complexions. Bankruptcy is here related to structural change in textile production and financial services. Additionally, the exploration extends to 1842 when District Courts of Bankruptcy were introduced, replacing a previous system that had existed since 1706. A second aspect confirms a recent proposal by Paul that there was a downside to the ‘consumer revolution’: risk and anxiety. Paul’s evidence was derived from insolvent debtors – at the lower level of trading and commerce. Bankruptcy proceedings were restricted to those engaged in higher levels of financial transactions and debt; and so indicate higher levels of risk in the local economy. The new bankruptcy legislation also marked a transition from trust in individuals to trust in institutions; thus an extension of rationalisation into the regulation of the economy.","Fogg Postles, David",Leicestershire Archaeological and Historical Society,2022
"Excavation of a Roman Tile Kiln at Dockenfield, 2015",surreyac103_001-021_graham.pdf,3242447,Surrey Archaeological Collections,Volume 103,Pages 1:21,"In September 2015, trenches were excavated over the site of a late 3rd/early 4th-century tile kiln close to the county boundary with Hampshire and about 1km east of the Roman pottery sites in the Alice Holt Forest.  this is the first record of a tile kiln operating in or near the Alice Holt Roman pottery industry.","Graham, Kai|Graham, Audrey",Surrey Archaeological Society,2021
"Neolithic and Bronze Age Occupation at Boxgrove Primary School, Guildford",surreyac103_063-090_lambert.pdf,3242454,Surrey Archaeological Collections,Volume 103,Pages 63:90,"An archaeological evaluation, followed by a controlled archaeological watching brief, was undertaken in 2012 at Boxgrove Primary School, Guildford in order to fulfill the requirements of the local planning authority.  the evaluation revealed two prehistoric tree-throw hollows, a cluster of large postholes/pits and a series of previously unidentified colluvial deposits containing prehistoric flintwork and pottery.  the watching brief revealed further prehistoric features, including Late Neolithic/early Bronze Age tree-throw hollows containing struck flint and other anthropogenic material, pits of Middle Bronze Age date, and further redeposited scatters if struck and burnt flint.","Lambert, Rebecca",Surrey Archaeological Society,2021
"Quarrying, Structured Deposition and Landscape Appropriation in Ewell",surreyac103_091-172_haslam.pdf,3242467,Surrey Archaeological Collections,Volume 103,Pages 91:172,"Recent excavations in Ewell revealed a palimpsest of archaeological remains that date from the Mesolithic to the Middle Saxon period. The first archaeologically identifiable evidence of activity within the confines of the site consists of scattered struck flint of Mesolithic and Neolithic date with more substantial activity occurring in the Late Bronze Age to Early Iron Age as evidenced by settlement activities associated with a well-organised field system. During the early Roman period, Ewell became the site of a large quarrying industry. That activity, and the landscape in which it took place, were of undoubted significance to the ancient inhabitants of the area, as demonstrated by the presence of a wealth of structured deposits in quarries and ditches that included a large quantity of human remains. The Romano-British people that were responsible for these depositions may have viewed the exercise as a practical undertaking integral to the quarrying process. Knowledge of the importance of this landscape and the earlier features within it appears to have survived into the post-Roman period when the top of one of the quarries was apparently used as a receptacle for a ‘deviant’ burial of Middle Saxon date. The results of this excavation therefore add to current understanding of the development of Ewell and its environs from the Late Bronze Age onwards and contribute to bodies of knowledge on several wider topics, including the nature of Late Bronze Age to Early Iron Age pastoralism and settlement on the North Downs, late prehistoric flint tool production, Roman quarrying in south-east Britain, mortuary rites in this region during the Late Iron Age and Roman periods, the potential importance of landscape context and the concept of liminality within prehistoric and Romano-British cosmologies and the appropriation of the landscape by a new culture during the Anglo-Saxon period.","Haslam, Alexis|Haslam, Rebecca",Surrey Archaeological Society,2021
"Archaeological Investigations at Anchor Cottages, Eastbourne Road, Blindley Heath",surreyac103_173-183_price.pdf,3242468,Surrey Archaeological Collections,Volume 103,Pages 173:183,"Archaeological excavations comprising evaluation and a strip, map and sample investigation, were undertaken by Archaeology South-East (ASE)during June 2011 and October-December 2013 at Anchor Cottages, Eastbourne Road, Blindley Heath. The excavations revealed evidence of a Late Iron Age or Late Iron Age/Early Roman field system possibly associated with the Roman road directly to the west of the site (now the A22). Rural medieval activity and some evidence of post-medieval sawpits was also discovered. For more information on the finds recovered from the site the reader should refer to the grey literature report (ASE 2014), which is available from ASE on request. The report will ultimately be available online through the Archaeology Data Service website and the site archive will be deposited with East Surrey Museum. ","Price, Steve",Surrey Archaeological Society,2021
A Large Group of Early Tudor Artefacts from Southwark: Archaeological Excavations on the More London Site in Tooley Street,surreyac103_185-266_saxby.pdf,3242469,Surrey Archaeological Collections,Volume 103,Pages 185:266,"Archaeological excavation of a large site in Southwark, just downstream from London Bridge and to the north of Tooley Street, produced an important assemblage of Tudor finds, the majority of which date to the turn of the 15th and 16th centuries, c 1480--1510. This article reports on the early Tudor artefacts, which included a number of household fixtures, kitchen and table wares, clothing, shoes, evidence of metalworking and other trades, as well as several weapons and fragments of armour. The article also gives a chronological narrative of the site, beginning with some prehistoric features and Roman discoveries (a dated 3rd century AD waterfront), and continuing with medieval features (such as a number of fishponds) and the remains of numerous early modern brick and timber buildings.","Saxby, David|Egan, Geoff|Richardson, Beth|Holder, Nick|Seeley, Fiona",Surrey Archaeological Society,2021
"Archaeological Excavations at 90-106 High Street, Staines-upon-Thames ",surreyac103_267-296_butler.pdf,3242470,Surrey Archaeological Collections,Volume 103,Pages 267:296,"Archaeological excavations at the east end of the High Street in Staines-upon-Thames revealed three phases of occupation dating to the Roman, medieval and post-medieval periods. The site lay just to the east of the main town gravel island in an area of marginal and frequently inundated land during the Roman and medieval periods. Evidence of the flooding was encountered with alluvial deposits observed across the site. Both the Roman and medieval activity consisted largely of attempts to drain and utilise this marginal land. During the post-medieval period the site was occupied by a tanyard, which may have had its origins in the 17th or 18th century but had gone out of use by the early 19th century.","Butler, Jonathan|Edmonds, Matt",Surrey Archaeological Society,2021
"Analytical Survey of Gravelly Hill, Caterham and Bletchingley",surreyac103_297-305_english.pdf,3242471,Surrey Archaeological Collections,Volume 103,Pages 297:305,"A sketch survey of earthworks on Gravelly Hill, Caterham, and Bletchingley, undertaken by Gwyneth Fookes and the late Peter Gray, showed evidence of multi-period activity; when Caterham School purchased the area they requested a full survey to assist in their land management. These surveys have indicated the presence of at least two phases of field systems, one of which pre-dates emparkment; the generally well-preserved pale of part of the medieval North Park; two lines of military defence works; and both large- and small-scale gravel extraction.","English, Judie|Jennings, John|Waters, Ken",Surrey Archaeological Society,2021
"Medieval Pottery from Bridgecroft, Mickleham, Leatherhead",surreyac103_307-321_nelson.pdf,3242472,Surrey Archaeological Collections,Volume 103,Pages 307:321,"A group of pottery recovered from the bank of the river Mole at Leatherhead included a range of fabrics of separate classification in the Surrey type series, but which include certain similarities and that are probably of contemporary date in the early/mid-13th century. The assemblage is important in indicating the range of types that might be expected on occupation sites of this date. It draws attention to the occurrence of sparsely flint-tempered fabrics in this part of the county and the possibility of a related industry.","Nelson, Stephen|English, Judie",Surrey Archaeological Society,2021
Sites in the Godalming Area Investigated by the Late George Inwood,surreyac103_323-329_english.pdf,3242473,Surrey Archaeological Collections,Volume 103,Pages 323:329,"After the death of George Inwood an archive of finds, mainly from informal fieldwalking, was recovered from his house and curated by John and Susan Janaway who kindly made it available for study, and, where appropriate, publication. ","English, Judie",Surrey Archaeological Society,2021
"An Early Iron Age and Beaker site near Gretton, Northamptonshire",NAS_20_1985_67-86_Jackson.pdf,3239584,Northamptonshire Archaeology,Volume 20,Pages 67:86,"Three Beaker pits, an Early Iron Age track alongside a palisade, and an Early Iron Age settlement with posthole settings in an oval and a four-post array, were excavated in 1978-9 The linear ditches produced an exceptionally rich assemblage of pottery and other refuse.","Jackson, Dennis|Knight, David",Northamptonshire Archaeological Society,1985
"Iron Age and Roman settlement at Ashley, Northants",NAS_20_1985_87-112_Taylor.pdf,3239585,Northamptonshire Archaeology,Volume 20,Pages 87:111,"Excavations in 1963 and 1966 revealed an Iron Age enclosed settlement of circular buildings, probably for mixed farming, and pottery with curvilinear decoration. During second half 1st century this settlement was succeeded by a flimsy romanized building nearby. A series of stone-based Roman agricultural buildings, including a long barn with massive circular stone post-bases along its spine, was built over the earlier settlement. A bronze-melting hearth followed, set among rubble. Mosaic debris points to late Roman modifications nearby.","Taylor, Steven|Dix, ",Northamptonshire Archaeological Society,1985
"Excavations on a Saxon and medieval site at Black Lion Hill, Northampton",NAS_20_1985_113-138_Shaw.pdf,3239586,Northamptonshire Archaeology,Volume 20,Pages 113:138,"Reports investigations on the excavation of two medieval street frontages, Marefair and St Peter's Street. There were prehistoric flints, part of the palace complex of mid Saxon date, 8th-9th century. In Late Saxon times came a dramatic change to intense urbanization. Quarry pits date to AD1100-1350, as do stone buildings. Occupation continued to the present, including sheep bones relating to an 18th century tannery","Shaw, Michael",Northamptonshire Archaeological Society,1985
"Bessie Surtees House Two Merchant Houses in Sandhill, Newcastle upon Tyne",archael522-001-027-heslop.pdf,3213132,Archaeologia Aeliana,Volume 22,Pages 1:27,"Details two houses, now amalgamated to form EH's Historic Properties Office and exhibition rooms. Their original fabric and documentary details of development and ownership are included.","Thomson, C|Heslop, David|McCombie, Grace",Society of Antiquaries of Newcastle,1994
"An Unenclosed Bronze Age House Site at Lookout Plantation, Northumberland",archael522-029-041-monaghan.pdf,3213133,Archaeologia Aeliana,Volume 22,Pages 29:41,Reports a site uncovered during pipe-laying work and comprising an apparently heptagonal slot with a south west facing entrance and timber porch structure enclosing an inner ring of seven posts.,"Monaghan, Jason",Society of Antiquaries of Newcastle,1994
An Excavation in the Roman Cemetery at South Shields,archael522-043-066-snape.pdf,3213134,Archaeologia Aeliana,Volume 22,Pages 43:66,"Several areas of use were revealed in a small area containing both cremations and inhumations. No unburnt bone survived because of the acidity of the soil, but gravegoods were found. There are separately authored reports on: `Pottery' by P T Bidwell (51--3); `Small finds' by A T Croom (53--63) including copper alloy, iron, and bone bracelets, copper alloy and iron rings, glass beads, jet objects, iron coffin fittings, copper alloy brooches, hobnails, a shale bracelet, millstone, and fragments of glass; and `Human remains' by J Langston (63).","Snape, Margaret",Society of Antiquaries of Newcastle,1994
Recording the Roman Wall,archael522-067-077-whitworth.pdf,3213135,Archaeologia Aeliana,Volume 22,Pages 67:77,Outlines the scheduling and guardianship of the Wall and describes the recording programme recently undertaken in aid of the better management and understanding of those parts of the Wall for which the State is directly responsible. There follows `Appendix 1' (75) details portions of Hadrian's Wall in the guardianship of the Secretary of State for National Heritage and `Appendix 2' (76--7) records the Hadrian's Wall drawing archive up to December 1993.,"Whitworth, Alan",Society of Antiquaries of Newcastle,1994
A late Pre-Conquest Carving from Corbridge (Roman Site),archael522-079-084-richardson.pdf,3213136,Archaeologia Aeliana,Volume 22,Pages 79:84,Reports a fragment of Roman moulded sandstone apparently re-carved in the Late AS period.,"Richardson, Caroline",Society of Antiquaries of Newcastle,1994
"Excavation adjacent to Close Gate, Newcastle, 1988-9",archael522-085-151-fraser.pdf,3213137,Archaeologia Aeliana,Volume 22,Pages 85:152,"Reports the excavation of a section of the medieval town wall and the Riverside Tower south of the Close Gate, to identify the precise location and investigate the relationship between their construction and the development of the medieval waterfront on The Close. Specialist reports cover pottery (medieval--post-medieval), clay pipes, glass (vessel and window), coins, copper alloy artefacts, lead, iron objects, shale, amber, leather, bone objects, building materials, masons' marks, and graffiti. There are also reports on: `Plant remains' by J P Huntley (134--44); `Soils' by Robert S Shiel (144--5); and `Petrology' by Tim Pettigrew (145).","Maxwell, R|Vaughan, Jenny|Fraser, Richard",Society of Antiquaries of Newcastle,1994
"Excavations on Westgate Road, Newcastle 1991",archael522-153-184-heslop.pdf,3213138,Archaeologia Aeliana,Volume 22,Pages 153:,"Reports the excavation of a section of the medieval town wall and the Riverside Tower south of the Close Gate, to identify the precise location and investigate the relationship between their construction and the development of the medieval waterfront on The Close. Specialist reports cover pottery (medieval--post-medieval), clay pipes, glass (vessel and window), coins, copper alloy artefacts, lead, iron objects, shale, amber, leather, bone objects, building materials, masons' marks, and graffiti. There are also reports on: `Plant remains' by J P Huntley (134--44); `Soils' by Robert S Shiel (144--5); and `Petrology' by Tim Pettigrew (145).","Truman, Laurence|Heslop, David|Vaughan, Jenny",Society of Antiquaries of Newcastle,1994
The Two Towers of Hexham,archael522-185-217-ryder.pdf,3213139,Archaeologia Aeliana,Volume 22,Pages 185:217,"A full architectural description of the buildings (the Moot Hall and the Old Gaol) including an outline of their structural history (use, repair, and alterations), along with a summary of the other buildings within the area of the former `Archbishop's Precinct'.","Ryder, Peter",Society of Antiquaries of Newcastle,1994
Excavations at Newcastle Quayside: The Evolution of Sandgate,archael522-219-233-goodrick.pdf,3213140,Archaeologia Aeliana,Volume 22,Pages 219:,"Second stage of investigations concerning the infrastructure of the extra-mural riverside area (see also 94/561). The principal aims of these 1992 excavations were to test for an episode of occupation before previously noted sand-dumping, and to see where the dumping ceased and buildings were constructed. Pottery, clay pipes, building materials, metalwork and stone were recovered.","Goodrick, Glyn|O'Brien, Colm|Williams, Alan",Society of Antiquaries of Newcastle,1994
Tyne Crossings at Hexham up to 1795,archael522-235-253-linsley.pdf,3213141,Archaeologia Aeliana,Volume 22,Pages 235:253,A brief overview of fords and ferries followed by details of bridges. Includes an appendix detailing the Trevelyan Papers (251--2).,"Linsley, Stafford",Society of Antiquaries of Newcastle,1994
"A late Neolithic cremation burial at Lookout Plantation, Northumberland",archael522-273-276-notes.pdf,3213147,Archaeologia Aeliana,Volume 22,Pages 273:274,Details fragments of pottery from a single funerary vessel. The complete object is thought to have resembled an enlarged food vessel in profile. Parallels are drawn with similar examples in northern England and Scotland.,"Monaghan, Jason",Society of Antiquaries of Newcastle,1994
Romano-British Aisled Houses,120_001_030.pdf,3180071,The Archaeological Journal,Volume 120,Pages 1:30,,"Smith, J",Royal Archaeological Institute,1963
The Interpretation of the Pictish Symbols,120_031_097.pdf,3180072,The Archaeological Journal,Volume 120,Pages 31:97,,"Thomas, Charles",Royal Archaeological Institute,1963
Celtic Metalwork of the Fifth and Sixth Centuries A.D.,120_098_160.pdf,3180073,The Archaeological Journal,Volume 120,Pages 98:160,,"Fowler, Elizabeth",Royal Archaeological Institute,1963
